"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","03-Jul-2019","        436.75","        437.90","        440.00","        434.20","        435.55","        435.95","        436.58","   10415896","          4547375341.35","     124380","    5950754","         57.13"
"ICICIBANK","EQ","04-Jul-2019","        435.95","        438.00","        441.40","        434.10","        434.40","        436.20","        438.41","   11810688","          5177940304.65","     112042","    6524616","         55.24"
"ICICIBANK","EQ","05-Jul-2019","        436.20","        436.45","        439.90","        433.20","        435.65","        436.35","        436.79","   12154330","          5308871074.15","      95496","    6010725","         49.45"
"ICICIBANK","EQ","08-Jul-2019","        436.35","        434.00","        435.35","        422.00","        426.75","        425.90","        427.70","   12184946","          5211553599.15","     121950","    6069523","         49.81"
"ICICIBANK","EQ","09-Jul-2019","        425.90","        426.00","        429.80","        424.65","        428.10","        428.50","        427.87","   11679067","          4997093443.50","     134841","    6371503","         54.55"
"ICICIBANK","EQ","10-Jul-2019","        428.50","        430.00","        432.70","        427.20","        431.70","        430.90","        430.21","   16494282","          7095953645.35","     140226","   10927005","         66.25"
"ICICIBANK","EQ","11-Jul-2019","        430.90","        432.65","        432.90","        424.80","        425.85","        426.55","        426.97","   16535185","          7060047738.65","     181487","   11039868","         66.77"
"ICICIBANK","EQ","12-Jul-2019","        426.55","        427.30","        433.00","        424.00","        427.30","        427.05","        427.77","    8824728","          3774992119.05","      96466","    3773913","         42.77"
"ICICIBANK","EQ","15-Jul-2019","        427.05","        428.40","        428.40","        421.60","        422.55","        422.30","        423.79","    7825336","          3316303938.45","      89202","    3997567","         51.08"
"ICICIBANK","EQ","16-Jul-2019","        422.30","        421.55","        430.55","        421.55","        424.75","        424.60","        427.13","   12149205","          5189289509.20","     145662","    5917921","         48.71"
"ICICIBANK","EQ","17-Jul-2019","        424.60","        424.60","        427.05","        422.50","        424.40","        424.70","        424.69","   10961022","          4655039847.80","     122652","    6468670","         59.02"
"ICICIBANK","EQ","18-Jul-2019","        424.70","        425.00","        425.50","        417.50","        418.65","        418.65","        421.30","   10651654","          4487535587.65","     116600","    6648250","         62.42"
"ICICIBANK","EQ","19-Jul-2019","        418.65","        419.90","        420.35","        408.50","        411.80","        410.30","        413.12","   12260757","          5065177929.30","     192447","    6974779","         56.89"
"ICICIBANK","EQ","22-Jul-2019","        410.30","        409.75","        412.95","        404.25","        411.85","        411.50","        409.91","   17937246","          7352709902.10","     145004","   12152939","         67.75"
"ICICIBANK","EQ","23-Jul-2019","        411.50","        412.80","        416.00","        409.75","        410.90","        411.95","        413.88","   14207080","          5880090845.20","     148413","    9025419","         63.53"
"ICICIBANK","EQ","24-Jul-2019","        411.95","        411.85","        411.85","        401.70","        407.90","        408.50","        406.86","   16505930","          6715646902.70","     172030","    8841593","         53.57"
"ICICIBANK","EQ","25-Jul-2019","        408.50","        409.20","        413.85","        405.30","        410.25","        409.00","        409.00","   16852479","          6892665789.25","     170631","    8194933","         48.63"
"ICICIBANK","EQ","26-Jul-2019","        409.00","        410.25","        419.40","        408.55","        419.15","        415.75","        413.72","   17493739","          7237591426.75","     170388","   10243937","         58.56"
"ICICIBANK","EQ","29-Jul-2019","        415.75","        433.00","        435.35","        425.30","        427.80","        429.35","        430.36","   46754670","         20121277371.75","     440893","   20179890","         43.16"
"ICICIBANK","EQ","30-Jul-2019","        429.35","        433.00","        438.70","        422.75","        427.25","        425.35","        432.02","   23617273","         10203148627.45","     233146","    8474299","         35.88"
"ICICIBANK","EQ","31-Jul-2019","        425.35","        423.90","        430.20","        421.20","        425.85","        424.60","        425.24","   22329888","          9495605716.75","     194617","   11963104","         53.57"
"ICICIBANK","EQ","01-Aug-2019","        424.60","        423.25","        426.35","        410.65","        418.65","        417.05","        419.10","   18269866","          7656815097.95","     193930","    8001888","         43.80"
"ICICIBANK","EQ","02-Aug-2019","        417.05","        413.90","        417.85","        405.50","        411.00","        410.60","        410.35","   30939803","         12696139252.30","     243291","   15946853","         51.54"
"ICICIBANK","EQ","05-Aug-2019","        410.60","        403.65","        406.65","        395.75","        403.05","        402.65","        401.22","   25033370","         10043943342.85","     242846","   12532641","         50.06"
"ICICIBANK","EQ","06-Aug-2019","        402.65","        401.00","        411.50","        400.90","        410.55","        410.25","        408.32","   30665326","         12521214684.25","     301347","   17482959","         57.01"
"ICICIBANK","EQ","07-Aug-2019","        410.25","        409.30","        415.00","        406.30","        407.40","        408.40","        411.55","   20977349","          8633243520.35","     154794","   10553516","         50.31"
"ICICIBANK","EQ","08-Aug-2019","        408.40","        411.00","        416.60","        404.15","        416.25","        414.40","        409.14","   19046657","          7792706984.85","     154895","    9871677","         51.83"
"ICICIBANK","EQ","09-Aug-2019","        414.40","        416.50","        422.40","        414.50","        421.35","        420.15","        419.14","   17664017","          7403662920.75","     127933","    9303035","         52.67"
"ICICIBANK","EQ","13-Aug-2019","        420.15","        417.00","        421.70","        409.15","        409.85","        410.25","        415.92","   18389104","          7648346484.30","     221004","   11105051","         60.39"
"ICICIBANK","EQ","14-Aug-2019","        410.25","        411.90","        422.20","        411.25","        416.90","        417.30","        418.24","   13307755","          5565883355.20","     147540","    5689970","         42.76"
"ICICIBANK","EQ","16-Aug-2019","        417.30","        417.80","        420.00","        412.10","        419.20","        418.95","        416.36","   15154141","          6309578175.10","     162922","    8287923","         54.69"
"ICICIBANK","EQ","19-Aug-2019","        418.95","        420.10","        427.90","        420.10","        423.45","        423.40","        424.67","   12304262","          5225224537.50","     122571","    4820734","         39.18"
"ICICIBANK","EQ","20-Aug-2019","        423.40","        420.80","        423.20","        412.50","        416.65","        416.90","        417.39","   16181488","          6753998015.40","     163209","    7787785","         48.13"
"ICICIBANK","EQ","21-Aug-2019","        416.90","        416.00","        418.70","        410.55","        411.50","        412.05","        415.25","   12868183","          5343457015.05","     134773","    6483587","         50.38"
"ICICIBANK","EQ","22-Aug-2019","        412.05","        411.00","        412.50","        398.00","        398.85","        399.10","        404.13","   18182520","          7348057394.20","     190231","   10095326","         55.52"
"ICICIBANK","EQ","23-Aug-2019","        399.10","        389.00","        403.50","        385.80","        395.90","        395.40","        394.27","   26883695","         10599558654.90","     308663","    9028951","         33.59"
"ICICIBANK","EQ","26-Aug-2019","        395.40","        407.00","        414.00","        392.85","        413.25","        411.65","        404.34","   26701988","         10796549055.30","     212742","   11705436","         43.84"
"ICICIBANK","EQ","27-Aug-2019","        411.65","        412.80","        420.50","        411.25","        418.40","        418.60","        417.06","   28793372","         12008603661.30","     266467","   16792147","         58.32"
"ICICIBANK","EQ","28-Aug-2019","        418.60","        418.00","        418.25","        409.70","        412.70","        412.95","        414.46","   12154347","          5037546077.85","     170749","    6401746","         52.67"
"ICICIBANK","EQ","29-Aug-2019","        412.95","        409.90","        410.80","        399.35","        406.30","        404.40","        404.32","   30331105","         12263525189.50","     197252","   19467390","         64.18"
"ICICIBANK","EQ","30-Aug-2019","        404.40","        406.50","        412.85","        402.65","        411.35","        409.65","        407.42","   18314194","          7461525667.65","     225177","    8383640","         45.78"
"ICICIBANK","EQ","03-Sep-2019","        409.65","        405.05","        406.40","        391.05","        391.85","        392.15","        396.27","   20194305","          8002458000.20","     220712","    8629337","         42.73"
"ICICIBANK","EQ","04-Sep-2019","        392.15","        391.00","        399.65","        389.90","        397.95","        397.50","        395.72","   18614965","          7366389453.35","     168152","    6849937","         36.80"
"ICICIBANK","EQ","05-Sep-2019","        397.50","        389.55","        394.00","        388.00","        388.60","        389.00","        390.76","   25022673","          9777946780.00","     271033","   10561678","         42.21"
"ICICIBANK","EQ","06-Sep-2019","        389.00","        391.00","        394.50","        389.20","        392.05","        391.35","        392.00","   17564286","          6885227550.90","     161875","    8599090","         48.96"
"ICICIBANK","EQ","09-Sep-2019","        391.35","        393.00","        400.40","        389.10","        395.85","        395.45","        396.17","   18651819","          7389247021.80","     165225","    7818289","         41.92"
"ICICIBANK","EQ","11-Sep-2019","        395.45","        394.90","        399.00","        393.35","        394.20","        394.60","        395.79","   17463978","          6912074095.80","     157848","    9473831","         54.25"
"ICICIBANK","EQ","12-Sep-2019","        394.60","        399.65","        407.20","        399.65","        402.60","        402.70","        404.39","   19577114","          7916740655.05","     166914","    7253189","         37.05"
